                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8756,                 1.7708,                 2.4328,                0.34145,                0.40142,                0.38912,                0.18362,                 1.8477,                 2.0285,                 2.2977,               0.006733,               0.006733,               0.006733
                     35,                   1.77,                 1.7323,                 2.3292,                0.40119,                0.52911,                0.41341,                0.21088,                 1.8044,                 2.0493,                 2.2624,               0.006634,               0.006634,               0.006634
                     36,                 1.7864,                 1.6493,                 2.2681,                0.42629,                0.50751,                0.43801,                0.22449,                 1.7936,                 2.1425,                 2.2481,               0.006535,               0.006535,               0.006535
                     37,                 1.7585,                 1.6429,                 2.2724,                0.46698,                0.53909,                0.49112,                0.25666,                 1.6964,                 1.7936,                 2.1677,               0.006436,               0.006436,               0.006436
                     38,                 1.7203,                 1.5979,                 2.2424,                0.40113,                0.56041,                0.52135,                0.28989,                 1.5795,                  1.692,                 2.0894,               0.006337,               0.006337,               0.006337
                     39,                 1.6313,                 1.6105,                 2.2621,                 0.4646,                 0.5952,                0.58335,                0.31924,                 1.6464,                 1.5842,                 2.1267,               0.006238,               0.006238,               0.006238
                     40,                  1.775,                 1.6296,                 2.2314,                0.42903,                0.63657,                0.55308,                0.31351,                 1.5582,                 1.5601,                 2.0648,               0.006139,               0.006139,               0.006139
                     41,                 1.6607,                  1.517,                 2.1843,                0.50534,                 0.6432,                0.62325,                0.35748,                 1.5591,                 1.4907,                 2.0603,                0.00604,                0.00604,                0.00604
                     42,                 1.5736,                 1.3575,                 2.0773,                0.59752,                0.66281,                0.64667,                0.36395,                 1.5111,                 1.4418,                 2.0051,               0.005941,               0.005941,               0.005941
                     43,                 1.5382,                 1.3805,                 2.0756,                0.54319,                0.66294,                0.61211,                0.36372,                 1.4569,                 1.3724,                  1.959,               0.005842,               0.005842,               0.005842
                     44,                 1.5859,                 1.4154,                 2.0457,                0.66418,                0.65994,                 0.6701,                0.40151,                 1.4228,                   1.37,                 1.9406,               0.005743,               0.005743,               0.005743
                     45,                 1.5116,                 1.3563,                 2.0776,                0.74874,                0.59897,                0.65172,                  0.389,                  1.394,                 1.3468,                  1.913,               0.005644,               0.005644,               0.005644
                     46,                 1.4493,                  1.281,                 1.9984,                0.61605,                0.66513,                0.68605,                0.41529,                 1.3371,                 1.2753,                 1.8788,               0.005545,               0.005545,               0.005545
                     47,                 1.4449,                 1.2543,                 1.9426,                0.55741,                 0.7078,                0.68743,                  0.397,                 1.3602,                 1.2565,                  1.862,               0.005446,               0.005446,               0.005446
                     48,                 1.3758,                 1.2374,                 1.9438,                0.59282,                0.75397,                0.74787,                0.43216,                  1.382,                 1.2389,                 1.8498,               0.005347,               0.005347,               0.005347
                     49,                 1.4501,                 1.2704,                 1.9298,                0.70695,                0.70338,                0.75848,                0.45125,                 1.3675,                 1.2258,                 1.8181,               0.005248,               0.005248,               0.005248
                     50,                  1.366,                 1.1576,                 1.9001,                0.77662,                0.67556,                0.77193,                0.47352,                 1.3663,                  1.152,                 1.8457,               0.005149,               0.005149,               0.005149
                     51,                 1.4263,                 1.1979,                 1.9019,                0.79261,                0.70552,                0.78013,                0.48512,                 1.3177,                 1.1358,                 1.8014,                0.00505,                0.00505,                0.00505
                     52,                 1.3644,                  1.165,                 1.8853,                 0.8189,                0.75338,                0.79033,                0.49074,                 1.3406,                 1.1508,                 1.8129,               0.004951,               0.004951,               0.004951
                     53,                  1.292,                 1.1649,                 1.8611,                0.77432,                0.76872,                0.79285,                0.50543,                 1.2699,                 1.1301,                 1.7751,               0.004852,               0.004852,               0.004852
